draw_event_id,draw_key,date,neural_best_hits,frequency_best_hits,recency_best_hits,uniform_random_mean_best_hits,neural_minus_frequency,neural_minus_recency
2026-16-1,2026-16,2026-03-01,2,2,3,2.06,0,-1
2026-17-1,2026-17,2026-03-05,2,2,2,2.04,0,0
2026-18-1,2026-18,2026-03-08,2,3,2,2.08,-1,0
2026-19-1,2026-19,2026-03-12,3,3,2,2.16,0,1
2026-20-1,2026-20,2026-03-15,2,2,2,2.28,0,0
2026-21-1,2026-21,2026-03-19,2,2,2,1.9,0,0
2026-22-1,2026-22,2026-03-22,3,3,3,2.22,0,0
2026-23-1,2026-23,2026-03-26,2,1,2,2.1,1,0
2026-24-1,2026-24,2026-03-29,2,2,1,2.14,0,1
2026-25-1,2026-25,2026-04-02,2,1,2,2.18,1,0
2026-26-1,2026-26,2026-04-05,2,2,2,2.1,0,0
2026-27-1,2026-27,2026-04-09,2,2,1,2.0,0,1
2026-28-1,2026-28,2026-04-12,3,2,2,2.04,1,1
2026-29-1,2026-29,2026-04-16,1,2,2,2.14,-1,-1
2026-30-1,2026-30,2026-04-19,2,2,1,2.08,0,1
2026-31-1,2026-31,2026-04-23,2,2,2,2.14,0,0
2026-32-1,2026-32,2026-04-26,2,3,3,2.1,-1,-1
2026-33-1,2026-33,2026-04-30,2,2,3,2.0,0,-1
2026-34-1,2026-34,2026-05-03,1,2,3,2.04,-1,-2
2026-35-1,2026-35,2026-05-07,2,3,2,2.16,-1,0
2026-36-1,2026-36,2026-05-10,1,2,2,2.02,-1,-1
2026-37-1,2026-37,2026-05-14,2,2,2,2.04,0,0
2026-38-1,2026-38,2026-05-17,1,2,1,2.04,-1,0
2026-39-1,2026-39,2026-05-21,2,1,2,2.12,1,0
2026-40-1,2026-40,2026-05-24,1,2,2,1.94,-1,-1
2026-41-1,2026-41,2026-05-28,3,2,1,1.98,1,2
2026-42-1,2026-42,2026-05-31,2,2,2,2.04,0,0
2026-43-1,2026-43,2026-06-04,3,4,3,1.96,-1,0
2026-44-1,2026-44,2026-06-07,2,2,2,2.06,0,0
2026-45-1,2026-45,2026-06-11,2,3,1,2.12,-1,1
2026-46-1,2026-46,2026-06-14,2,1,2,2.16,1,0
2026-47-1,2026-47,2026-06-18,2,1,2,2.04,1,0
2026-48-1,2026-48,2026-06-21,2,2,2,1.96,0,0
2026-49-1,2026-49,2026-06-25,3,3,2,2.02,0,1
2026-50-1,2026-50,2026-06-28,3,2,2,2.16,1,1
2026-51-1,2026-51,2026-07-02,2,2,2,2.1,0,0
2026-52-1,2026-52,2026-07-05,2,2,2,2.14,0,0
2026-53-1,2026-53,2026-07-09,2,2,2,2.02,0,0
