number,neural_score,номер,четност,ниско_високо,десетица,разстояние_от_край,историческа_честота,отклонение_от_очакваното,честота_последни_25,честота_последни_50,честота_последни_100,gap_от_последна_поява,overdue_сигнал,кратък_тренд,rank
3,0.5015653673674322,0.061224489795918366,1.0,1.0,0.0,0.08333333333333333,0.11750671040858933,-0.0049422691832474025,0.2,0.14,0.14,0.03333333333333333,-0.05208333333333333,0.06,19
15,0.500012835008105,0.30612244897959184,1.0,1.0,0.25,0.5833333333333334,0.12138383537130927,-0.0010651442205274614,0.24,0.18,0.13,0.05,-0.027083333333333327,0.10999999999999999,20
11,0.4971339256957383,0.22448979591836735,1.0,1.0,0.25,0.4166666666666667,0.1266527487821851,0.004203769190348372,0.12,0.1,0.09,0.016666666666666666,-0.07708333333333332,0.03,21
20,0.49554587486126156,0.40816326530612246,0.0,1.0,0.5,0.7916666666666666,0.12138383537130927,-0.0010651442205274614,0.16,0.14,0.13,0.1,0.04791666666666668,0.03,22
7,0.4954986600777298,0.14285714285714285,1.0,1.0,0.0,0.25,0.1207873546078139,-0.0016616249840228359,0.12,0.14,0.09,0.08333333333333333,0.022916666666666675,0.03,23
23,0.4943730783130896,0.46938775510204084,1.0,1.0,0.5,0.9166666666666666,0.116214335421016,-0.00623464417082073,0.12,0.1,0.11,0.125,0.08541666666666667,0.009999999999999995,24
31,0.4943317528663676,0.6326530612244898,1.0,0.0,0.75,0.75,0.11720847002684164,-0.005240509564995097,0.08,0.14,0.1,0.008333333333333333,-0.08958333333333332,-0.020000000000000004,25
35,0.493304862627843,0.7142857142857143,1.0,0.0,0.75,0.5833333333333334,0.12357093150412565,0.001121951912288921,0.08,0.1,0.12,0.03333333333333333,-0.05208333333333333,-0.039999999999999994,26
48,0.4926076057514512,0.9795918367346939,0.0,0.0,1.0,0.041666666666666664,0.12625509493985484,0.003806115348018113,0.08,0.12,0.09,0.05,-0.027083333333333327,-0.009999999999999995,27
17,0.49143763097375115,0.3469387755102041,1.0,1.0,0.25,0.6666666666666666,0.12595685455810718,0.0035078749662704467,0.24,0.18,0.15,0.025,-0.06458333333333333,0.09,28
24,0.49085366398275004,0.4897959183673469,0.0,1.0,0.5,0.9583333333333334,0.12327269112237797,0.0008237115305412407,0.2,0.16,0.15,0.075,0.010416666666666675,0.05000000000000002,29
14,0.4902676519170877,0.2857142857142857,0.0,1.0,0.25,0.5416666666666666,0.11999204692315339,-0.00245693266868334,0.12,0.16,0.11,0.05,-0.027083333333333327,0.009999999999999995,30
8,0.4901726820170484,0.16326530612244897,0.0,1.0,0.0,0.2916666666666667,0.12386917188587335,0.0014201922940366152,0.12,0.18,0.17,0.025,-0.06458333333333333,-0.05000000000000002,31
12,0.48980782571136994,0.24489795918367346,0.0,1.0,0.25,0.4583333333333333,0.12416741226762104,0.0017184326757843094,0.08,0.12,0.14,0.06666666666666667,-0.002083333333333326,-0.06000000000000001,32
9,0.48877126940808735,0.1836734693877551,1.0,1.0,0.0,0.3333333333333333,0.12446565264936872,0.0020166730575319897,0.16,0.1,0.16,0.09166666666666666,0.03541666666666667,0.0,33
46,0.48819261867912034,0.9387755102040817,0.0,0.0,1.0,0.125,0.12396858534645591,0.00151960575461918,0.04,0.08,0.1,0.025,-0.06458333333333333,-0.060000000000000005,34
26,0.4875843249057017,0.5306122448979592,0.0,0.0,0.5,0.9583333333333334,0.12118500845014415,-0.001263971141692577,0.12,0.1,0.06,0.058333333333333334,-0.014583333333333327,0.06,35
6,0.48703008179418483,0.12244897959183673,0.0,1.0,0.0,0.20833333333333334,0.12655333532160254,0.004104355729765807,0.16,0.12,0.14,0.016666666666666666,-0.07708333333333332,0.01999999999999999,36
33,0.486591282305018,0.673469387755102,1.0,0.0,0.75,0.6666666666666666,0.12198031613480466,-0.000468663457032073,0.12,0.12,0.15,0.03333333333333333,-0.05208333333333333,-0.03,37
4,0.4853373122153193,0.08163265306122448,0.0,1.0,0.0,0.125,0.12685157570335023,0.0044025961115135015,0.12,0.14,0.11,0.041666666666666664,-0.039583333333333325,0.009999999999999995,38
49,0.4850829403260873,1.0,1.0,0.0,1.0,0.0,0.1266527487821851,0.004203769190348372,0.16,0.14,0.1,0.016666666666666666,-0.07708333333333332,0.06,39
37,0.4841187112368418,0.7551020408163265,1.0,0.0,0.75,0.5,0.12685157570335023,0.0044025961115135015,0.12,0.1,0.08,0.025,-0.06458333333333333,0.039999999999999994,40
32,0.481986948494765,0.6530612244897959,0.0,0.0,0.75,0.7083333333333334,0.11969380654140571,-0.00275517305043102,0.04,0.06,0.08,0.06666666666666667,-0.002083333333333326,-0.04,41
1,0.4819813490621878,0.02040816326530612,1.0,1.0,0.0,0.0,0.12436623918878616,0.001917259596949425,0.04,0.04,0.07,0.175,0.16041666666666668,-0.030000000000000006,42
5,0.4802846344354233,0.10204081632653061,1.0,1.0,0.0,0.16666666666666666,0.1212844219107267,-0.0011645576811100261,0.08,0.12,0.16,0.06666666666666667,-0.002083333333333326,-0.08,43
18,0.47782427807303485,0.3673469387755102,0.0,1.0,0.25,0.7083333333333334,0.11889849885674521,-0.003550480735091524,0.12,0.08,0.13,0.008333333333333333,-0.08958333333333332,-0.010000000000000009,44
39,0.4767925212747128,0.7959183673469388,1.0,0.0,0.75,0.4166666666666667,0.12029028730490109,-0.0021586922869356456,0.04,0.04,0.07,0.08333333333333333,0.022916666666666675,-0.030000000000000006,45
22,0.4756011112640001,0.4489795918367347,0.0,1.0,0.5,0.875,0.12426682572820359,0.0018178461363668602,0.12,0.06,0.1,0.041666666666666664,-0.039583333333333325,0.01999999999999999,46
36,0.47163822962210455,0.7346938775510204,0.0,0.0,0.75,0.5416666666666666,0.12138383537130927,-0.0010651442205274614,0.08,0.06,0.08,0.08333333333333333,0.022916666666666675,0.0,47
10,0.4710523776107828,0.20408163265306123,0.0,1.0,0.25,0.375,0.11939556615965802,-0.0030534134321787143,0.12,0.08,0.1,0.09166666666666666,0.03541666666666667,0.01999999999999999,48
16,0.47067143423285634,0.32653061224489793,0.0,1.0,0.25,0.625,0.11949497962024058,-0.0029539999715961496,0.12,0.08,0.09,0.016666666666666666,-0.07708333333333332,0.03,49
