model,event_index,year,draw_number,drawing_no,predicted_top6,actual_numbers,matched_numbers,hit_count
frequency_baseline,8153,2011,82,1,4 44 49 25 17 6,1 12 27 40 41 49,49,1
frequency_baseline,8154,2011,82,2,4 44 49 25 17 1,2 8 26 27 37 46,,0
frequency_baseline,8155,2011,83,1,4 44 49 25 17 1,1 9 14 17 18 42,1 17,2
frequency_baseline,8156,2011,83,2,4 44 49 25 17 1,12 17 20 34 40 44,17 44,2
frequency_baseline,8157,2011,84,1,4 44 49 25 17 1,7 21 23 26 44 49,44 49,2
frequency_baseline,8158,2011,84,2,4 44 49 25 17 1,2 3 11 32 45 46,,0
frequency_baseline,8159,2011,85,1,4 44 49 25 17 1,1 16 35 37 44 46,1 44,2
frequency_baseline,8160,2011,85,2,4 44 49 25 17 1,6 11 29 32 36 41,,0
frequency_baseline,8161,2011,86,1,4 44 49 25 17 1,5 8 15 25 34 47,25,1
frequency_baseline,8162,2011,86,2,4 44 49 25 17 1,1 5 16 34 37 49,1 49,2
frequency_baseline,8163,2011,87,1,4 44 49 25 17 1,9 10 13 14 47 49,49,1
frequency_baseline,8164,2011,87,2,4 44 49 25 17 1,7 17 28 29 34 49,17 49,2
frequency_baseline,8165,2011,88,1,4 44 49 25 17 1,2 3 30 33 35 47,,0
frequency_baseline,8166,2011,88,2,4 44 49 25 17 1,13 18 29 30 32 43,,0
frequency_baseline,8167,2011,89,1,4 44 49 25 17 1,10 16 18 28 29 30,,0
frequency_baseline,8168,2011,89,2,4 44 49 25 17 1,4 12 21 31 47 49,4 49,2
frequency_baseline,8169,2011,90,1,4 44 49 25 17 1,1 6 21 34 37 39,1,1
frequency_baseline,8170,2011,90,2,4 44 49 25 17 1,2 8 14 20 22 36,,0
frequency_baseline,8171,2011,91,1,4 44 49 25 17 1,2 16 18 29 42 43,,0
frequency_baseline,8172,2011,91,2,4 44 49 25 17 1,9 17 19 35 36 40,17,1
frequency_baseline,8173,2011,92,1,4 44 49 25 17 1,3 15 17 21 32 46,17,1
frequency_baseline,8174,2011,92,2,4 44 49 25 17 1,11 14 19 30 32 48,,0
frequency_baseline,8175,2011,93,1,4 44 49 25 17 1,9 18 19 26 44 49,44 49,2
frequency_baseline,8176,2011,93,2,4 44 49 25 17 1,4 10 25 36 41 43,4 25,2
frequency_baseline,8177,2011,94,1,4 44 49 25 17 1,5 15 30 35 36 41,,0
frequency_baseline,8178,2011,94,2,4 44 49 25 17 1,5 13 20 25 26 35,25,1
frequency_baseline,8179,2011,95,1,4 44 49 25 17 1,2 10 32 37 43 48,,0
frequency_baseline,8180,2011,95,2,4 44 49 25 17 1,14 18 26 30 39 45,,0
frequency_baseline,8181,2011,96,1,4 44 49 25 17 1,14 38 40 43 44 47,44,1
frequency_baseline,8182,2011,96,2,4 44 49 25 17 1,9 13 21 29 32 46,,0
frequency_baseline,8183,2011,97,1,4 44 49 25 17 1,10 19 23 26 32 41,,0
frequency_baseline,8184,2011,97,2,4 44 49 25 17 1,20 21 32 33 36 44,44,1
frequency_baseline,8185,2011,98,1,4 44 49 25 17 1,15 23 27 33 34 39,,0
frequency_baseline,8186,2011,98,2,4 44 49 25 17 1,5 6 22 23 42 49,49,1
