number_a,number_b,r_pair_count,r_pair_score
10,32,129.0,0.5068493150684932
11,22,129.0,0.5068493150684932
11,42,129.0,0.5068493150684932
12,24,129.0,0.5068493150684932
13,20,129.0,0.5068493150684932
13,28,129.0,0.5068493150684932
14,42,129.0,0.5068493150684932
15,27,129.0,0.5068493150684932
15,38,129.0,0.5068493150684932
15,47,129.0,0.5068493150684932
16,17,129.0,0.5068493150684932
18,48,129.0,0.5068493150684932
2,16,129.0,0.5068493150684932
2,35,129.0,0.5068493150684932
20,22,129.0,0.5068493150684932
20,26,129.0,0.5068493150684932
20,27,129.0,0.5068493150684932
20,46,129.0,0.5068493150684932
24,29,129.0,0.5068493150684932
28,34,129.0,0.5068493150684932
29,31,129.0,0.5068493150684932
29,46,129.0,0.5068493150684932
3,13,129.0,0.5068493150684932
3,23,129.0,0.5068493150684932
3,33,129.0,0.5068493150684932
3,42,129.0,0.5068493150684932
3,8,129.0,0.5068493150684932
31,45,129.0,0.5068493150684932
32,45,129.0,0.5068493150684932
38,49,129.0,0.5068493150684932
42,43,129.0,0.5068493150684932
5,10,129.0,0.5068493150684932
5,24,129.0,0.5068493150684932
7,33,129.0,0.5068493150684932
7,46,129.0,0.5068493150684932
8,24,129.0,0.5068493150684932
1,32,128.0,0.4931506849315068
1,42,128.0,0.4931506849315068
1,47,128.0,0.4931506849315068
10,15,128.0,0.4931506849315068
10,25,128.0,0.4931506849315068
12,16,128.0,0.4931506849315068
12,39,128.0,0.4931506849315068
12,46,128.0,0.4931506849315068
12,47,128.0,0.4931506849315068
14,27,128.0,0.4931506849315068
16,18,128.0,0.4931506849315068
17,38,128.0,0.4931506849315068
19,25,128.0,0.4931506849315068
19,39,128.0,0.4931506849315068
2,23,128.0,0.4931506849315068
2,8,128.0,0.4931506849315068
20,31,128.0,0.4931506849315068
21,25,128.0,0.4931506849315068
22,30,128.0,0.4931506849315068
22,34,128.0,0.4931506849315068
26,33,128.0,0.4931506849315068
26,35,128.0,0.4931506849315068
27,35,128.0,0.4931506849315068
27,38,128.0,0.4931506849315068
29,39,128.0,0.4931506849315068
3,45,128.0,0.4931506849315068
3,48,128.0,0.4931506849315068
35,36,128.0,0.4931506849315068
35,42,128.0,0.4931506849315068
35,43,128.0,0.4931506849315068
47,49,128.0,0.4931506849315068
7,21,128.0,0.4931506849315068
8,10,128.0,0.4931506849315068
8,21,128.0,0.4931506849315068
8,9,128.0,0.4931506849315068
1,4,127.0,0.4794520547945205
10,41,127.0,0.4794520547945205
10,43,127.0,0.4794520547945205
11,12,127.0,0.4794520547945205
11,41,127.0,0.4794520547945205
13,47,127.0,0.4794520547945205
14,46,127.0,0.4794520547945205
15,37,127.0,0.4794520547945205
17,28,127.0,0.4794520547945205
18,26,127.0,0.4794520547945205
18,28,127.0,0.4794520547945205
18,38,127.0,0.4794520547945205
18,41,127.0,0.4794520547945205
19,34,127.0,0.4794520547945205
2,21,127.0,0.4794520547945205
2,3,127.0,0.4794520547945205
2,45,127.0,0.4794520547945205
20,30,127.0,0.4794520547945205
20,43,127.0,0.4794520547945205
21,29,127.0,0.4794520547945205
21,40,127.0,0.4794520547945205
21,45,127.0,0.4794520547945205
23,26,127.0,0.4794520547945205
24,45,127.0,0.4794520547945205
26,27,127.0,0.4794520547945205
28,36,127.0,0.4794520547945205
3,12,127.0,0.4794520547945205
3,6,127.0,0.4794520547945205
30,49,127.0,0.4794520547945205
33,41,127.0,0.4794520547945205
36,47,127.0,0.4794520547945205
4,43,127.0,0.4794520547945205
40,41,127.0,0.4794520547945205
40,44,127.0,0.4794520547945205
41,46,127.0,0.4794520547945205
44,45,127.0,0.4794520547945205
5,26,127.0,0.4794520547945205
6,14,127.0,0.4794520547945205
6,27,127.0,0.4794520547945205
7,25,127.0,0.4794520547945205
8,12,127.0,0.4794520547945205
8,47,127.0,0.4794520547945205
10,11,126.0,0.4657534246575342
11,47,126.0,0.4657534246575342
13,15,126.0,0.4657534246575342
13,27,126.0,0.4657534246575342
13,41,126.0,0.4657534246575342
15,30,126.0,0.4657534246575342
15,31,126.0,0.4657534246575342
16,19,126.0,0.4657534246575342
16,25,126.0,0.4657534246575342
18,44,126.0,0.4657534246575342
19,42,126.0,0.4657534246575342
2,49,126.0,0.4657534246575342
22,41,126.0,0.4657534246575342
26,44,126.0,0.4657534246575342
29,41,126.0,0.4657534246575342
3,29,126.0,0.4657534246575342
34,47,126.0,0.4657534246575342
4,31,126.0,0.4657534246575342
42,46,126.0,0.4657534246575342
43,47,126.0,0.4657534246575342
5,17,126.0,0.4657534246575342
5,43,126.0,0.4657534246575342
6,34,126.0,0.4657534246575342
7,28,126.0,0.4657534246575342
8,13,126.0,0.4657534246575342
8,15,126.0,0.4657534246575342
8,20,126.0,0.4657534246575342
8,32,126.0,0.4657534246575342
8,36,126.0,0.4657534246575342
9,26,126.0,0.4657534246575342
9,37,126.0,0.4657534246575342
9,47,126.0,0.4657534246575342
10,17,125.0,0.4520547945205479
11,25,125.0,0.4520547945205479
11,28,125.0,0.4520547945205479
11,40,125.0,0.4520547945205479
12,23,125.0,0.4520547945205479
13,18,125.0,0.4520547945205479
13,21,125.0,0.4520547945205479
14,32,125.0,0.4520547945205479
15,23,125.0,0.4520547945205479
16,33,125.0,0.4520547945205479
18,30,125.0,0.4520547945205479
19,28,125.0,0.4520547945205479
2,14,125.0,0.4520547945205479
2,28,125.0,0.4520547945205479
20,34,125.0,0.4520547945205479
22,33,125.0,0.4520547945205479
23,29,125.0,0.4520547945205479
23,40,125.0,0.4520547945205479
23,48,125.0,0.4520547945205479
25,43,125.0,0.4520547945205479
25,46,125.0,0.4520547945205479
26,39,125.0,0.4520547945205479
26,42,125.0,0.4520547945205479
27,29,125.0,0.4520547945205479
29,45,125.0,0.4520547945205479
31,35,125.0,0.4520547945205479
35,46,125.0,0.4520547945205479
37,38,125.0,0.4520547945205479
37,42,125.0,0.4520547945205479
39,47,125.0,0.4520547945205479
6,10,125.0,0.4520547945205479
9,16,125.0,0.4520547945205479
9,42,125.0,0.4520547945205479
1,13,124.0,0.4383561643835616
1,45,124.0,0.4383561643835616
10,22,124.0,0.4383561643835616
10,24,124.0,0.4383561643835616
10,26,124.0,0.4383561643835616
11,18,124.0,0.4383561643835616
11,39,124.0,0.4383561643835616
13,33,124.0,0.4383561643835616
14,40,124.0,0.4383561643835616
15,43,124.0,0.4383561643835616
16,29,124.0,0.4383561643835616
2,6,124.0,0.4383561643835616
23,25,124.0,0.4383561643835616
25,27,124.0,0.4383561643835616
25,32,124.0,0.4383561643835616
25,36,124.0,0.4383561643835616
26,45,124.0,0.4383561643835616
3,19,124.0,0.4383561643835616
3,5,124.0,0.4383561643835616
30,38,124.0,0.4383561643835616
31,46,124.0,0.4383561643835616
32,33,124.0,0.4383561643835616
32,34,124.0,0.4383561643835616
34,35,124.0,0.4383561643835616
34,43,124.0,0.4383561643835616
36,41,124.0,0.4383561643835616
36,49,124.0,0.4383561643835616
4,29,124.0,0.4383561643835616
4,49,124.0,0.4383561643835616
46,47,124.0,0.4383561643835616
5,21,124.0,0.4383561643835616
5,25,124.0,0.4383561643835616
5,40,124.0,0.4383561643835616
6,15,124.0,0.4383561643835616
6,31,124.0,0.4383561643835616
6,32,124.0,0.4383561643835616
7,39,124.0,0.4383561643835616
8,49,124.0,0.4383561643835616
9,33,124.0,0.4383561643835616
9,48,124.0,0.4383561643835616
1,2,123.0,0.4246575342465753
1,3,123.0,0.4246575342465753
1,38,123.0,0.4246575342465753
1,40,123.0,0.4246575342465753
15,24,123.0,0.4246575342465753
18,35,123.0,0.4246575342465753
18,43,123.0,0.4246575342465753
18,47,123.0,0.4246575342465753
19,29,123.0,0.4246575342465753
19,38,123.0,0.4246575342465753
2,32,123.0,0.4246575342465753
20,40,123.0,0.4246575342465753
21,26,123.0,0.4246575342465753
22,39,123.0,0.4246575342465753
23,24,123.0,0.4246575342465753
23,38,123.0,0.4246575342465753
24,44,123.0,0.4246575342465753
26,41,123.0,0.4246575342465753
26,48,123.0,0.4246575342465753
3,10,123.0,0.4246575342465753
30,32,123.0,0.4246575342465753
30,45,123.0,0.4246575342465753
33,48,123.0,0.4246575342465753
38,39,123.0,0.4246575342465753
39,42,123.0,0.4246575342465753
5,11,123.0,0.4246575342465753
5,12,123.0,0.4246575342465753
6,25,123.0,0.4246575342465753
