group,n1,n2,n3,count,recent_count,last_seen_index,gap,frequency_score,recency_score,overdue_score,group_score
22-26-35,22,26,35,12,0,9157,901,0.48,0.0,0.08958,0.400563
5-13-30,5,13,30,13,0,7681,2377,0.52,0.0,0.236329,0.400551
5-18-48,5,18,48,8,1,10026,32,0.32,0.25,0.003182,0.400523
5-18-37,5,18,37,8,1,10026,32,0.32,0.25,0.003182,0.400523
10-24-37,10,24,37,8,1,10025,33,0.32,0.25,0.003281,0.400508
10-14-24,10,14,24,8,1,10025,33,0.32,0.25,0.003281,0.400508
10-36-37,10,36,37,8,1,10025,33,0.32,0.25,0.003281,0.400508
16-38-40,16,38,40,12,0,9152,906,0.48,0.0,0.090078,0.400488
39-40-42,39,40,42,12,0,9152,906,0.48,0.0,0.090078,0.400488
18-25-48,18,25,48,12,0,9148,910,0.48,0.0,0.090475,0.400429
13-15-23,13,15,23,8,1,10019,39,0.32,0.25,0.003878,0.400418
12-13-36,12,13,36,8,1,10019,39,0.32,0.25,0.003878,0.400418
6-15-23,6,15,23,8,1,10019,39,0.32,0.25,0.003878,0.400418
32-35-36,32,35,36,12,0,9146,912,0.48,0.0,0.090674,0.400399
17-18-37,17,18,37,8,1,10017,41,0.32,0.25,0.004076,0.400389
22-41-46,22,41,46,8,1,10017,41,0.32,0.25,0.004076,0.400389
4-17-20,4,17,20,8,1,10016,42,0.32,0.25,0.004176,0.400374
2-11-42,2,11,42,8,1,10015,43,0.32,0.25,0.004275,0.400359
12-19-42,12,19,42,8,1,10015,43,0.32,0.25,0.004275,0.400359
11-28-37,11,28,37,8,1,10014,44,0.32,0.25,0.004375,0.400344
4-30-47,4,30,47,12,0,9142,916,0.48,0.0,0.091072,0.400339
10-13-36,10,13,36,8,1,10013,45,0.32,0.25,0.004474,0.400329
11-13-24,11,13,24,13,0,7666,2392,0.52,0.0,0.237821,0.400327
1-21-30,1,21,30,12,0,9141,917,0.48,0.0,0.091171,0.400324
18-20-28,18,20,28,8,1,10012,46,0.32,0.25,0.004573,0.400314
22-28-34,22,28,34,12,0,9140,918,0.48,0.0,0.091271,0.400309
11-22-34,11,22,34,12,0,9140,918,0.48,0.0,0.091271,0.400309
20-27-47,20,27,47,8,1,10011,47,0.32,0.25,0.004673,0.400299
11-15-22,11,15,22,12,0,9139,919,0.48,0.0,0.09137,0.400294
26-28-48,26,28,48,8,1,10009,49,0.32,0.25,0.004872,0.400269
5-21-26,5,21,26,8,1,10009,49,0.32,0.25,0.004872,0.400269
6-15-46,6,15,46,12,0,9137,921,0.48,0.0,0.091569,0.400265
20-32-49,20,32,49,8,1,10008,50,0.32,0.25,0.004971,0.400254
9-31-49,9,31,49,12,0,9136,922,0.48,0.0,0.091668,0.40025
1-9-31,1,9,31,12,0,9136,922,0.48,0.0,0.091668,0.40025
