draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url
27,,16,19,35,37,46,49,1958,26,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
28,,3,4,21,26,42,49,1958,27,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
29,,2,16,30,40,42,49,1958,28,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
30,,17,26,30,39,42,43,1958,29,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
31,,6,12,25,28,33,35,1958,30,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
32,,5,10,14,22,33,43,1958,31,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
33,,2,7,14,34,42,43,1958,32,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
34,,4,9,10,18,35,48,1958,33,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
35,,16,18,21,24,28,43,1958,34,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
36,,3,14,22,32,33,34,1958,35,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
37,,8,11,41,42,43,46,1958,36,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
38,,3,4,9,16,26,42,1958,37,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
39,,1,10,11,23,45,46,1958,38,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
40,,4,6,17,21,27,31,1958,39,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
41,,4,13,22,25,31,35,1958,40,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
42,,2,17,19,22,33,44,1958,41,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
43,,8,32,34,35,40,42,1958,42,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
44,,7,15,19,29,38,47,1958,43,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
45,,13,16,20,36,47,49,1958,44,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
46,,7,21,23,25,31,44,1958,45,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
47,,12,16,19,32,38,40,1958,46,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
48,,1,8,19,27,41,44,1958,47,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
49,,12,21,27,28,41,45,1958,48,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
50,,6,8,23,27,42,47,1958,49,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
51,,17,24,31,32,37,47,1958,50,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
52,,1,13,16,21,30,34,1958,51,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
53,,6,16,22,32,38,45,1958,52,1,https://info.toto.bg/content/files/stats-tiraji/649_58.txt
54,,9,11,18,39,43,48,1959,1,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
55,,7,15,18,41,45,49,1959,2,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
56,,8,9,16,22,41,45,1959,3,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
57,,2,9,11,17,28,48,1959,4,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
58,,2,5,24,30,34,46,1959,5,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
59,,13,18,25,28,31,33,1959,6,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
60,,2,12,24,25,30,48,1959,7,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
61,,5,9,10,20,21,30,1959,8,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
62,,29,30,37,41,42,45,1959,9,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
63,,3,9,13,20,22,39,1959,10,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
64,,17,21,24,27,30,48,1959,11,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
65,,8,18,26,32,35,43,1959,12,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
66,,16,18,28,43,45,49,1959,13,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
67,,9,11,25,30,38,42,1959,14,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
68,,2,10,13,17,25,27,1959,15,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
69,,12,17,19,30,39,48,1959,16,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
70,,2,11,15,24,37,44,1959,17,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
71,,1,15,21,36,40,41,1959,18,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
72,,2,18,22,23,36,48,1959,19,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
73,,23,24,32,41,44,48,1959,20,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
74,,2,4,30,37,44,47,1959,21,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
75,,16,23,26,34,37,48,1959,22,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
76,,18,21,29,30,31,44,1959,23,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
77,,6,8,12,17,24,31,1959,24,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
78,,7,12,13,23,26,39,1959,25,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
79,,8,9,17,25,41,46,1959,26,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
80,,3,19,20,31,36,40,1959,27,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
81,,13,15,16,18,34,40,1959,28,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
82,,4,20,26,31,34,41,1959,29,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
83,,12,24,36,37,39,44,1959,30,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
84,,8,11,21,30,34,49,1959,31,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
85,,6,28,36,42,45,48,1959,32,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
86,,7,10,28,39,44,48,1959,33,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
87,,4,16,17,40,44,49,1959,34,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
88,,8,12,43,44,46,48,1959,35,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
89,,5,25,31,45,46,48,1959,36,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
90,,7,8,11,24,27,39,1959,37,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
91,,4,8,17,18,29,43,1959,38,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
92,,14,19,20,27,44,48,1959,39,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
93,,2,5,13,14,28,32,1959,40,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
94,,1,8,15,26,36,46,1959,41,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
95,,9,21,26,28,42,43,1959,42,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
96,,10,15,22,26,27,41,1959,43,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
97,,11,13,29,32,41,46,1959,44,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
98,,5,12,28,29,33,43,1959,45,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
99,,1,20,32,36,39,44,1959,46,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
100,,4,11,22,28,31,42,1959,47,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
101,,2,7,9,11,18,43,1959,48,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
102,,4,11,13,16,24,39,1959,49,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
103,,5,16,21,22,44,45,1959,50,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
104,,21,24,30,36,39,41,1959,51,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
105,,18,35,36,41,43,45,1959,52,1,https://info.toto.bg/content/files/stats-tiraji/649_59.txt
106,,5,9,21,24,39,48,1960,1,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
107,,13,14,25,29,42,48,1960,2,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
108,,15,16,19,23,39,45,1960,3,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
109,,1,3,6,21,31,42,1960,4,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
110,,3,6,23,42,46,49,1960,5,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
111,,2,4,5,9,13,31,1960,6,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
112,,8,17,28,29,38,43,1960,7,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
113,,1,2,12,17,24,49,1960,8,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
114,,10,22,27,38,46,49,1960,9,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
115,,11,15,18,31,38,49,1960,10,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
116,,1,3,4,11,37,38,1960,11,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
117,,2,8,29,37,41,46,1960,12,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
118,,3,14,18,24,29,39,1960,13,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
119,,15,24,25,29,38,48,1960,14,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
120,,14,23,33,36,37,48,1960,15,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
121,,6,17,18,23,42,49,1960,16,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
122,,4,10,12,25,27,33,1960,17,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
123,,3,5,6,16,44,49,1960,18,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
124,,12,16,21,39,41,49,1960,19,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
125,,3,5,11,12,19,30,1960,20,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
126,,3,4,23,25,44,48,1960,21,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
127,,5,24,26,35,41,44,1960,22,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
128,,1,2,5,29,38,39,1960,23,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
129,,1,11,25,26,34,46,1960,24,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
130,,9,13,16,34,38,41,1960,25,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
131,,6,30,39,40,44,46,1960,26,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
132,,1,13,16,17,25,35,1960,27,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
133,,4,6,20,22,38,40,1960,28,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
134,,12,15,19,25,35,45,1960,29,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
135,,1,14,19,25,28,39,1960,30,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
136,,6,7,21,27,36,39,1960,31,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
137,,12,14,22,28,29,34,1960,32,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
138,,4,5,17,21,30,47,1960,33,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
139,,20,21,23,28,34,44,1960,34,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
140,,13,18,36,37,41,43,1960,35,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
141,,14,16,21,23,32,47,1960,36,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
142,,4,7,11,16,22,33,1960,37,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
143,,4,6,7,17,20,25,1960,38,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
144,,5,8,17,25,32,45,1960,39,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
145,,12,14,22,30,36,40,1960,40,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
146,,14,23,31,40,47,49,1960,41,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
147,,14,20,23,27,38,45,1960,42,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
148,,16,26,28,33,37,49,1960,43,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
149,,1,4,7,28,35,39,1960,44,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
150,,14,17,22,29,31,45,1960,45,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
151,,6,11,20,24,35,43,1960,46,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
152,,14,26,27,28,29,45,1960,47,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
153,,3,9,11,19,20,31,1960,48,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
154,,17,23,34,35,38,47,1960,49,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
155,,1,4,25,29,33,34,1960,50,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
156,,5,12,18,25,36,38,1960,51,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
157,,4,10,18,19,25,31,1960,52,1,https://info.toto.bg/content/files/stats-tiraji/649_60.txt
158,,14,17,22,31,42,48,1961,1,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
159,,5,6,9,24,26,36,1961,2,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
160,,16,21,24,28,45,49,1961,3,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
161,,7,11,25,27,36,40,1961,4,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
162,,17,28,30,39,40,47,1961,5,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
163,,2,5,17,20,40,48,1961,6,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
164,,11,29,30,42,45,48,1961,7,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
165,,1,20,27,28,37,42,1961,8,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
166,,3,23,27,28,38,40,1961,9,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
167,,3,24,33,41,42,47,1961,10,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
168,,4,10,21,41,42,47,1961,11,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
169,,6,10,11,21,26,48,1961,12,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
170,,11,22,24,32,34,45,1961,13,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
171,,16,22,24,25,37,43,1961,14,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
172,,3,6,12,14,38,40,1961,15,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
173,,4,19,30,35,42,49,1961,16,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
174,,6,23,29,34,35,39,1961,17,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
175,,3,13,27,35,36,37,1961,18,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
176,,3,5,29,38,40,45,1961,19,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
177,,5,15,16,34,38,49,1961,20,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
178,,12,18,23,31,36,45,1961,21,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
179,,24,25,33,37,40,41,1961,22,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
180,,2,22,29,39,41,44,1961,23,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
181,,27,28,29,36,39,48,1961,24,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
182,,20,22,39,40,41,49,1961,25,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
183,,1,4,14,18,28,38,1961,26,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
184,,7,11,13,17,33,48,1961,27,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
185,,4,9,12,30,38,41,1961,28,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
186,,6,7,19,31,37,43,1961,29,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
187,,2,17,22,25,31,49,1961,30,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
188,,7,9,33,41,47,49,1961,31,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
189,,2,12,14,29,46,48,1961,32,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
190,,6,7,24,41,43,44,1961,33,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
191,,14,21,26,43,44,46,1961,34,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
192,,8,13,30,31,35,46,1961,35,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
193,,10,11,12,15,36,44,1961,36,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
194,,2,16,22,27,37,42,1961,37,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
195,,1,2,6,31,34,40,1961,38,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
196,,1,18,22,23,26,30,1961,39,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
197,,10,12,31,33,40,44,1961,40,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
198,,5,8,21,29,31,34,1961,41,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
199,,7,16,27,36,37,47,1961,42,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
200,,17,21,25,26,37,49,1961,43,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
201,,7,12,15,16,18,37,1961,44,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
202,,3,12,22,28,32,49,1961,45,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
203,,6,14,25,30,40,45,1961,46,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
204,,1,15,19,20,25,46,1961,47,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
205,,2,9,10,13,14,31,1961,48,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
206,,3,11,12,18,20,43,1961,49,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
207,,5,7,15,16,31,47,1961,50,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
208,,1,3,9,11,21,35,1961,51,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
209,,16,30,37,41,46,47,1961,52,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
210,,5,10,14,17,22,26,1961,53,1,https://info.toto.bg/content/files/stats-tiraji/649_61.txt
211,,15,27,29,40,43,47,1962,1,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
212,,2,14,21,43,45,49,1962,2,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
213,,1,9,12,19,47,48,1962,3,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
214,,2,12,23,35,36,41,1962,4,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
215,,14,15,24,34,36,49,1962,5,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
216,,4,10,15,26,36,49,1962,6,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
217,,10,13,39,42,43,44,1962,7,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
218,,13,14,16,19,26,37,1962,8,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
219,,1,9,21,29,36,38,1962,9,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
220,,1,4,8,9,25,38,1962,10,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
221,,6,7,11,17,36,39,1962,11,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
222,,4,8,10,20,24,27,1962,12,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
223,,6,7,11,18,22,32,1962,13,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
224,,4,10,24,43,48,49,1962,14,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
225,,7,18,26,30,31,34,1962,15,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
226,,21,26,32,33,39,40,1962,16,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
227,,2,4,13,33,39,46,1962,17,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
228,,9,26,40,41,46,49,1962,18,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
229,,5,9,16,27,42,47,1962,19,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
230,,3,14,22,28,34,42,1962,20,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
231,,8,16,21,39,43,45,1962,21,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
232,,6,13,20,21,29,41,1962,22,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
233,,1,3,4,11,34,36,1962,23,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
234,,1,19,21,25,29,45,1962,24,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
235,,24,25,26,28,34,37,1962,25,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
236,,6,28,29,33,36,44,1962,26,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
237,,3,7,13,25,26,42,1962,27,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
238,,4,9,17,22,24,37,1962,28,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
239,,5,20,28,39,42,46,1962,29,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
240,,1,6,12,17,31,38,1962,30,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
241,,7,13,23,26,44,46,1962,31,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
242,,4,12,14,17,19,46,1962,32,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
243,,7,9,28,33,42,48,1962,33,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
244,,13,17,20,31,39,47,1962,34,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
245,,2,4,8,38,42,49,1962,35,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
246,,13,16,25,30,31,41,1962,36,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
247,,9,10,28,30,33,35,1962,37,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
248,,6,8,18,32,42,44,1962,38,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
249,,4,16,19,22,47,48,1962,39,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
250,,6,7,13,20,22,31,1962,40,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
251,,2,6,12,22,34,42,1962,41,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
252,,13,15,20,31,36,45,1962,42,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
253,,11,16,20,23,42,49,1962,43,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
254,,4,11,12,36,38,47,1962,44,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
255,,1,12,24,34,43,48,1962,45,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
256,,1,14,15,29,44,47,1962,46,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
257,,1,11,12,28,36,45,1962,47,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
258,,16,18,23,29,37,48,1962,48,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
259,,12,24,27,30,34,49,1962,49,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
260,,5,9,12,23,24,28,1962,50,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
261,,2,20,25,26,38,42,1962,51,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
262,,13,34,41,43,46,49,1962,52,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
263,,3,4,20,33,37,48,1962,601,1,https://info.toto.bg/content/files/stats-tiraji/649_62.txt
264,,7,8,36,38,39,49,1963,1,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
265,,1,5,14,19,21,40,1963,2,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
266,,5,23,34,35,40,45,1963,3,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
267,,5,10,14,16,33,45,1963,4,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
268,,3,29,35,42,43,46,1963,5,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
269,,15,22,24,26,47,49,1963,6,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
270,,1,6,27,32,42,43,1963,7,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
271,,1,6,8,32,37,38,1963,8,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
272,,9,20,23,25,29,46,1963,9,1,https://info.toto.bg/content/files/stats-tiraji/649_63.txt
