year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_file,parser_format,data_status
1958,41,,1,2,17,19,22,33,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,42,,1,8,32,34,35,40,42,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,43,,1,7,15,19,29,38,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,44,,1,13,16,20,36,47,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,45,,1,7,21,23,25,31,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,46,,1,12,16,19,32,38,40,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,47,,1,1,8,19,27,41,44,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,48,,1,12,21,27,28,41,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,49,,1,6,8,23,27,42,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,50,,1,17,24,31,32,37,47,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,51,,1,1,13,16,21,30,34,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1958,52,,1,6,16,22,32,38,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_58.txt,649_1958.txt,comma_single_or_repeated_draw,available_without_bonus
1959,1,,1,9,11,18,39,43,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,2,,1,7,15,18,41,45,49,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,3,,1,8,9,16,22,41,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,4,,1,2,9,11,17,28,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,5,,1,2,5,24,30,34,46,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,6,,1,13,18,25,28,31,33,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,7,,1,2,12,24,25,30,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,8,,1,5,9,10,20,21,30,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,9,,1,29,30,37,41,42,45,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,10,,1,3,9,13,20,22,39,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
1959,11,,1,17,21,24,27,30,48,,BST_OFFICIAL_ARCHIVE,https://info.toto.bg/content/files/stats-tiraji/649_59.txt,649_1959.txt,comma_single_or_repeated_draw,available_without_bonus
