draw_event_id,year,draw_number,date,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source,source_url,source_draw_id,data_status
1959-38-1,1959,38,,1,4,8,17,18,29,43,,historical_draws.csv,raw:bst_649_1959.txt,91,available_without_bonus
1959-39-1,1959,39,,1,14,19,20,27,44,48,,historical_draws.csv,raw:bst_649_1959.txt,92,available_without_bonus
1959-40-1,1959,40,,1,2,5,13,14,28,32,,historical_draws.csv,raw:bst_649_1959.txt,93,available_without_bonus
1959-41-1,1959,41,,1,1,8,15,26,36,46,,historical_draws.csv,raw:bst_649_1959.txt,94,available_without_bonus
1959-42-1,1959,42,,1,9,21,26,28,42,43,,historical_draws.csv,raw:bst_649_1959.txt,95,available_without_bonus
1959-43-1,1959,43,,1,10,15,22,26,27,41,,historical_draws.csv,raw:bst_649_1959.txt,96,available_without_bonus
1959-44-1,1959,44,,1,11,13,29,32,41,46,,historical_draws.csv,raw:bst_649_1959.txt,97,available_without_bonus
1959-45-1,1959,45,,1,5,12,28,29,33,43,,historical_draws.csv,raw:bst_649_1959.txt,98,available_without_bonus
1959-46-1,1959,46,,1,1,20,32,36,39,44,,historical_draws.csv,raw:bst_649_1959.txt,99,available_without_bonus
1959-47-1,1959,47,,1,4,11,22,28,31,42,,historical_draws.csv,raw:bst_649_1959.txt,100,available_without_bonus
1959-48-1,1959,48,,1,2,7,9,11,18,43,,historical_draws.csv,raw:bst_649_1959.txt,101,available_without_bonus
1959-49-1,1959,49,,1,4,11,13,16,24,39,,historical_draws.csv,raw:bst_649_1959.txt,102,available_without_bonus
1959-50-1,1959,50,,1,5,16,21,22,44,45,,historical_draws.csv,raw:bst_649_1959.txt,103,available_without_bonus
1959-51-1,1959,51,,1,21,24,30,36,39,41,,historical_draws.csv,raw:bst_649_1959.txt,104,available_without_bonus
1959-52-1,1959,52,,1,18,35,36,41,43,45,,historical_draws.csv,raw:bst_649_1959.txt,105,available_without_bonus
1960-1-1,1960,1,,1,5,9,21,24,39,48,,historical_draws.csv,raw:bst_649_1960.txt,106,available_without_bonus
1960-2-1,1960,2,,1,13,14,25,29,42,48,,historical_draws.csv,raw:bst_649_1960.txt,107,available_without_bonus
1960-3-1,1960,3,,1,15,16,19,23,39,45,,historical_draws.csv,raw:bst_649_1960.txt,108,available_without_bonus
1960-4-1,1960,4,,1,1,3,6,21,31,42,,historical_draws.csv,raw:bst_649_1960.txt,109,available_without_bonus
1960-5-1,1960,5,,1,3,6,23,42,46,49,,historical_draws.csv,raw:bst_649_1960.txt,110,available_without_bonus
1960-6-1,1960,6,,1,2,4,5,9,13,31,,historical_draws.csv,raw:bst_649_1960.txt,111,available_without_bonus
1960-7-1,1960,7,,1,8,17,28,29,38,43,,historical_draws.csv,raw:bst_649_1960.txt,112,available_without_bonus
1960-8-1,1960,8,,1,1,2,12,17,24,49,,historical_draws.csv,raw:bst_649_1960.txt,113,available_without_bonus
1960-9-1,1960,9,,1,10,22,27,38,46,49,,historical_draws.csv,raw:bst_649_1960.txt,114,available_without_bonus
1960-10-1,1960,10,,1,11,15,18,31,38,49,,historical_draws.csv,raw:bst_649_1960.txt,115,available_without_bonus
1960-11-1,1960,11,,1,1,3,4,11,37,38,,historical_draws.csv,raw:bst_649_1960.txt,116,available_without_bonus
1960-12-1,1960,12,,1,2,8,29,37,41,46,,historical_draws.csv,raw:bst_649_1960.txt,117,available_without_bonus
1960-13-1,1960,13,,1,3,14,18,24,29,39,,historical_draws.csv,raw:bst_649_1960.txt,118,available_without_bonus
1960-14-1,1960,14,,1,15,24,25,29,38,48,,historical_draws.csv,raw:bst_649_1960.txt,119,available_without_bonus
1960-15-1,1960,15,,1,14,23,33,36,37,48,,historical_draws.csv,raw:bst_649_1960.txt,120,available_without_bonus
1960-16-1,1960,16,,1,6,17,18,23,42,49,,historical_draws.csv,raw:bst_649_1960.txt,121,available_without_bonus
1960-17-1,1960,17,,1,4,10,12,25,27,33,,historical_draws.csv,raw:bst_649_1960.txt,122,available_without_bonus
1960-18-1,1960,18,,1,3,5,6,16,44,49,,historical_draws.csv,raw:bst_649_1960.txt,123,available_without_bonus
1960-19-1,1960,19,,1,12,16,21,39,41,49,,historical_draws.csv,raw:bst_649_1960.txt,124,available_without_bonus
1960-20-1,1960,20,,1,3,5,11,12,19,30,,historical_draws.csv,raw:bst_649_1960.txt,125,available_without_bonus
1960-21-1,1960,21,,1,3,4,23,25,44,48,,historical_draws.csv,raw:bst_649_1960.txt,126,available_without_bonus
1960-22-1,1960,22,,1,5,24,26,35,41,44,,historical_draws.csv,raw:bst_649_1960.txt,127,available_without_bonus
1960-23-1,1960,23,,1,1,2,5,29,38,39,,historical_draws.csv,raw:bst_649_1960.txt,128,available_without_bonus
1960-24-1,1960,24,,1,1,11,25,26,34,46,,historical_draws.csv,raw:bst_649_1960.txt,129,available_without_bonus
1960-25-1,1960,25,,1,9,13,16,34,38,41,,historical_draws.csv,raw:bst_649_1960.txt,130,available_without_bonus
1960-26-1,1960,26,,1,6,30,39,40,44,46,,historical_draws.csv,raw:bst_649_1960.txt,131,available_without_bonus
1960-27-1,1960,27,,1,1,13,16,17,25,35,,historical_draws.csv,raw:bst_649_1960.txt,132,available_without_bonus
1960-28-1,1960,28,,1,4,6,20,22,38,40,,historical_draws.csv,raw:bst_649_1960.txt,133,available_without_bonus
1960-29-1,1960,29,,1,12,15,19,25,35,45,,historical_draws.csv,raw:bst_649_1960.txt,134,available_without_bonus
1960-30-1,1960,30,,1,1,14,19,25,28,39,,historical_draws.csv,raw:bst_649_1960.txt,135,available_without_bonus
1960-31-1,1960,31,,1,6,7,21,27,36,39,,historical_draws.csv,raw:bst_649_1960.txt,136,available_without_bonus
1960-32-1,1960,32,,1,12,14,22,28,29,34,,historical_draws.csv,raw:bst_649_1960.txt,137,available_without_bonus
1960-33-1,1960,33,,1,4,5,17,21,30,47,,historical_draws.csv,raw:bst_649_1960.txt,138,available_without_bonus
1960-34-1,1960,34,,1,20,21,23,28,34,44,,historical_draws.csv,raw:bst_649_1960.txt,139,available_without_bonus
1960-35-1,1960,35,,1,13,18,36,37,41,43,,historical_draws.csv,raw:bst_649_1960.txt,140,available_without_bonus
1960-36-1,1960,36,,1,14,16,21,23,32,47,,historical_draws.csv,raw:bst_649_1960.txt,141,available_without_bonus
1960-37-1,1960,37,,1,4,7,11,16,22,33,,historical_draws.csv,raw:bst_649_1960.txt,142,available_without_bonus
1960-38-1,1960,38,,1,4,6,7,17,20,25,,historical_draws.csv,raw:bst_649_1960.txt,143,available_without_bonus
1960-39-1,1960,39,,1,5,8,17,25,32,45,,historical_draws.csv,raw:bst_649_1960.txt,144,available_without_bonus
1960-40-1,1960,40,,1,12,14,22,30,36,40,,historical_draws.csv,raw:bst_649_1960.txt,145,available_without_bonus
1960-41-1,1960,41,,1,14,23,31,40,47,49,,historical_draws.csv,raw:bst_649_1960.txt,146,available_without_bonus
1960-42-1,1960,42,,1,14,20,23,27,38,45,,historical_draws.csv,raw:bst_649_1960.txt,147,available_without_bonus
1960-43-1,1960,43,,1,16,26,28,33,37,49,,historical_draws.csv,raw:bst_649_1960.txt,148,available_without_bonus
1960-44-1,1960,44,,1,1,4,7,28,35,39,,historical_draws.csv,raw:bst_649_1960.txt,149,available_without_bonus
1960-45-1,1960,45,,1,14,17,22,29,31,45,,historical_draws.csv,raw:bst_649_1960.txt,150,available_without_bonus
1960-46-1,1960,46,,1,6,11,20,24,35,43,,historical_draws.csv,raw:bst_649_1960.txt,151,available_without_bonus
1960-47-1,1960,47,,1,14,26,27,28,29,45,,historical_draws.csv,raw:bst_649_1960.txt,152,available_without_bonus
1960-48-1,1960,48,,1,3,9,11,19,20,31,,historical_draws.csv,raw:bst_649_1960.txt,153,available_without_bonus
1960-49-1,1960,49,,1,17,23,34,35,38,47,,historical_draws.csv,raw:bst_649_1960.txt,154,available_without_bonus
1960-50-1,1960,50,,1,1,4,25,29,33,34,,historical_draws.csv,raw:bst_649_1960.txt,155,available_without_bonus
1960-51-1,1960,51,,1,5,12,18,25,36,38,,historical_draws.csv,raw:bst_649_1960.txt,156,available_without_bonus
1960-52-1,1960,52,,1,4,10,18,19,25,31,,historical_draws.csv,raw:bst_649_1960.txt,157,available_without_bonus
1961-1-1,1961,1,,1,14,17,22,31,42,48,,historical_draws.csv,raw:bst_649_1961.txt,158,available_without_bonus
1961-2-1,1961,2,,1,5,6,9,24,26,36,,historical_draws.csv,raw:bst_649_1961.txt,159,available_without_bonus
1961-3-1,1961,3,,1,16,21,24,28,45,49,,historical_draws.csv,raw:bst_649_1961.txt,160,available_without_bonus
1961-4-1,1961,4,,1,7,11,25,27,36,40,,historical_draws.csv,raw:bst_649_1961.txt,161,available_without_bonus
1961-5-1,1961,5,,1,17,28,30,39,40,47,,historical_draws.csv,raw:bst_649_1961.txt,162,available_without_bonus
1961-6-1,1961,6,,1,2,5,17,20,40,48,,historical_draws.csv,raw:bst_649_1961.txt,163,available_without_bonus
1961-7-1,1961,7,,1,11,29,30,42,45,48,,historical_draws.csv,raw:bst_649_1961.txt,164,available_without_bonus
1961-8-1,1961,8,,1,1,20,27,28,37,42,,historical_draws.csv,raw:bst_649_1961.txt,165,available_without_bonus
1961-9-1,1961,9,,1,3,23,27,28,38,40,,historical_draws.csv,raw:bst_649_1961.txt,166,available_without_bonus
1961-10-1,1961,10,,1,3,24,33,41,42,47,,historical_draws.csv,raw:bst_649_1961.txt,167,available_without_bonus
1961-11-1,1961,11,,1,4,10,21,41,42,47,,historical_draws.csv,raw:bst_649_1961.txt,168,available_without_bonus
1961-12-1,1961,12,,1,6,10,11,21,26,48,,historical_draws.csv,raw:bst_649_1961.txt,169,available_without_bonus
1961-13-1,1961,13,,1,11,22,24,32,34,45,,historical_draws.csv,raw:bst_649_1961.txt,170,available_without_bonus
1961-14-1,1961,14,,1,16,22,24,25,37,43,,historical_draws.csv,raw:bst_649_1961.txt,171,available_without_bonus
1961-15-1,1961,15,,1,3,6,12,14,38,40,,historical_draws.csv,raw:bst_649_1961.txt,172,available_without_bonus
1961-16-1,1961,16,,1,4,19,30,35,42,49,,historical_draws.csv,raw:bst_649_1961.txt,173,available_without_bonus
1961-17-1,1961,17,,1,6,23,29,34,35,39,,historical_draws.csv,raw:bst_649_1961.txt,174,available_without_bonus
1961-18-1,1961,18,,1,3,13,27,35,36,37,,historical_draws.csv,raw:bst_649_1961.txt,175,available_without_bonus
1961-19-1,1961,19,,1,3,5,29,38,40,45,,historical_draws.csv,raw:bst_649_1961.txt,176,available_without_bonus
1961-20-1,1961,20,,1,5,15,16,34,38,49,,historical_draws.csv,raw:bst_649_1961.txt,177,available_without_bonus
