draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
100,,4,11,22,28,31,42,1959,47,1,raw:bst_649_1959.txt,47,,
101,,2,7,9,11,18,43,1959,48,1,raw:bst_649_1959.txt,48,,
102,,4,11,13,16,24,39,1959,49,1,raw:bst_649_1959.txt,49,,
103,,5,16,21,22,44,45,1959,50,1,raw:bst_649_1959.txt,50,,
104,,21,24,30,36,39,41,1959,51,1,raw:bst_649_1959.txt,51,,
105,,18,35,36,41,43,45,1959,52,1,raw:bst_649_1959.txt,52,,
106,,5,9,21,24,39,48,1960,1,1,raw:bst_649_1960.txt,1,,
107,,13,14,25,29,42,48,1960,2,1,raw:bst_649_1960.txt,2,,
108,,15,16,19,23,39,45,1960,3,1,raw:bst_649_1960.txt,3,,
109,,1,3,6,21,31,42,1960,4,1,raw:bst_649_1960.txt,4,,
110,,3,6,23,42,46,49,1960,5,1,raw:bst_649_1960.txt,5,,
111,,2,4,5,9,13,31,1960,6,1,raw:bst_649_1960.txt,6,,
112,,8,17,28,29,38,43,1960,7,1,raw:bst_649_1960.txt,7,,
113,,1,2,12,17,24,49,1960,8,1,raw:bst_649_1960.txt,8,,
114,,10,22,27,38,46,49,1960,9,1,raw:bst_649_1960.txt,9,,
115,,11,15,18,31,38,49,1960,10,1,raw:bst_649_1960.txt,10,,
116,,1,3,4,11,37,38,1960,11,1,raw:bst_649_1960.txt,11,,
117,,2,8,29,37,41,46,1960,12,1,raw:bst_649_1960.txt,12,,
118,,3,14,18,24,29,39,1960,13,1,raw:bst_649_1960.txt,13,,
119,,15,24,25,29,38,48,1960,14,1,raw:bst_649_1960.txt,14,,
120,,14,23,33,36,37,48,1960,15,1,raw:bst_649_1960.txt,15,,
121,,6,17,18,23,42,49,1960,16,1,raw:bst_649_1960.txt,16,,
122,,4,10,12,25,27,33,1960,17,1,raw:bst_649_1960.txt,17,,
123,,3,5,6,16,44,49,1960,18,1,raw:bst_649_1960.txt,18,,
124,,12,16,21,39,41,49,1960,19,1,raw:bst_649_1960.txt,19,,
125,,3,5,11,12,19,30,1960,20,1,raw:bst_649_1960.txt,20,,
126,,3,4,23,25,44,48,1960,21,1,raw:bst_649_1960.txt,21,,
127,,5,24,26,35,41,44,1960,22,1,raw:bst_649_1960.txt,22,,
128,,1,2,5,29,38,39,1960,23,1,raw:bst_649_1960.txt,23,,
129,,1,11,25,26,34,46,1960,24,1,raw:bst_649_1960.txt,24,,
130,,9,13,16,34,38,41,1960,25,1,raw:bst_649_1960.txt,25,,
131,,6,30,39,40,44,46,1960,26,1,raw:bst_649_1960.txt,26,,
132,,1,13,16,17,25,35,1960,27,1,raw:bst_649_1960.txt,27,,
133,,4,6,20,22,38,40,1960,28,1,raw:bst_649_1960.txt,28,,
134,,12,15,19,25,35,45,1960,29,1,raw:bst_649_1960.txt,29,,
135,,1,14,19,25,28,39,1960,30,1,raw:bst_649_1960.txt,30,,
136,,6,7,21,27,36,39,1960,31,1,raw:bst_649_1960.txt,31,,
137,,12,14,22,28,29,34,1960,32,1,raw:bst_649_1960.txt,32,,
138,,4,5,17,21,30,47,1960,33,1,raw:bst_649_1960.txt,33,,
139,,20,21,23,28,34,44,1960,34,1,raw:bst_649_1960.txt,34,,
140,,13,18,36,37,41,43,1960,35,1,raw:bst_649_1960.txt,35,,
141,,14,16,21,23,32,47,1960,36,1,raw:bst_649_1960.txt,36,,
142,,4,7,11,16,22,33,1960,37,1,raw:bst_649_1960.txt,37,,
143,,4,6,7,17,20,25,1960,38,1,raw:bst_649_1960.txt,38,,
144,,5,8,17,25,32,45,1960,39,1,raw:bst_649_1960.txt,39,,
145,,12,14,22,30,36,40,1960,40,1,raw:bst_649_1960.txt,40,,
146,,14,23,31,40,47,49,1960,41,1,raw:bst_649_1960.txt,41,,
147,,14,20,23,27,38,45,1960,42,1,raw:bst_649_1960.txt,42,,
148,,16,26,28,33,37,49,1960,43,1,raw:bst_649_1960.txt,43,,
149,,1,4,7,28,35,39,1960,44,1,raw:bst_649_1960.txt,44,,
150,,14,17,22,29,31,45,1960,45,1,raw:bst_649_1960.txt,45,,
151,,6,11,20,24,35,43,1960,46,1,raw:bst_649_1960.txt,46,,
152,,14,26,27,28,29,45,1960,47,1,raw:bst_649_1960.txt,47,,
153,,3,9,11,19,20,31,1960,48,1,raw:bst_649_1960.txt,48,,
154,,17,23,34,35,38,47,1960,49,1,raw:bst_649_1960.txt,49,,
155,,1,4,25,29,33,34,1960,50,1,raw:bst_649_1960.txt,50,,
156,,5,12,18,25,36,38,1960,51,1,raw:bst_649_1960.txt,51,,
157,,4,10,18,19,25,31,1960,52,1,raw:bst_649_1960.txt,52,,
158,,14,17,22,31,42,48,1961,1,1,raw:bst_649_1961.txt,1,,
159,,5,6,9,24,26,36,1961,2,1,raw:bst_649_1961.txt,2,,
160,,16,21,24,28,45,49,1961,3,1,raw:bst_649_1961.txt,3,,
